,WineName,Type,Elaborate,Body,Acidity,Code,Country,RegionName,WineryName,PC1,PC2,PC3,PC4,PC5,PC8,PC9,PC12,PC25,PC30,PC31,PC37,PC39,PC41,PC55,PC61
75,Reserva Cabernet Franc,2,9,5,2,14,16,35,6,0.874469935005088,-0.9758055595050246,-0.3448529789634042,-0.008371590656011545,-0.03732913605878275,-1.3178211439189127,1.45130720915708,-0.6659357173726334,-0.022907776444713618,0.5144742571183095,-2.018158032936653,-3.80959646863752,-0.3258176682267081,-0.5678808967946057,0.6991328851655223,-0.2029364793060806
76,Reserva Chardonnay,5,7,2,2,2,3,62,4,-1.3326927857450865,0.720125646325301,1.2810288774966339,1.3046258413194336,-2.486104149328409,-1.8047944385021177,1.0598027689384824,-2.6613035790635338,3.1336991117755035,-1.3793781607939604,1.9049135111454683,0.6957463819780643,-0.4601258946709366,-0.5676927737505754,-1.1015564859207758,0.6346571780327099
77,Ricarico Prestige Cuvée,2,0,0,2,9,9,56,39,0.06298596941730539,-1.2709582249263207,-1.5578174075902416,-3.6275792593177454,0.5677718902413166,0.6664669023872624,0.42797580026209264,2.2614573696751807,-1.5326673173516425,-1.2680463356512695,-4.629874161822589,-0.09764152971155804,-0.19051891976048663,0.07722176839098012,-0.3008219014483074,-0.08201094098240398
78,Riserva Prêt-A-Porter,2,6,3,2,9,9,2,9,-0.7825876357699015,-0.8938746415489489,0.18051566665495689,1.686930167189666,0.2656398450976518,0.6574927333794129,-2.6785610156060735,1.9644990632741954,0.2886326884780625,2.6735565144673803,1.4685867194346478,-0.20234991013592946,0.11355561589519524,0.1663238166946319,0.3996073764992683,0.14106477669204193
79,Rocky Gully Cabernets,2,1,5,0,1,1,25,38,-0.24322733608417182,-0.8045430982879205,-0.3408546292097796,-1.6977804272105996,0.08913499057586478,3.3752981406583515,-1.2346750614899005,5.082595453741048,0.33846078389817247,-0.6837950794354002,-0.6068584405068459,0.3093004840450941,-2.494084212750536,-2.759502298789439,3.147850690774115,-0.09304962164261514
80,Rosato,3,0,1,2,9,9,52,35,-1.4144101839792012,3.9852184435530673,5.455047978842438,-1.4967278096991534,-0.11895490616235459,-1.7995712927184924,-0.756381563834076,-0.8079888719499647,0.5750986301282667,0.4014291962116395,-1.2750266825241985,1.4420854793905362,0.13279126382780496,0.008420554557733693,0.6661571998308223,-0.06732498044664513
81,Rosé of Pinot Noir,3,7,2,0,13,15,75,76,-1.5046000868451357,1.8643001031918396,0.9914582474779419,-0.2836963650683661,-2.1637308585586417,-1.1455046767602721,1.0287077853404631,1.8711354825499829,-3.487745907874129,-0.9178704571112705,1.858308789509749,0.6991078913572052,-0.7270473499256447,0.5406750996083479,0.0454408207677434,0.18620198752558217
82,Sancerre Les Baronnes Rosé,3,7,2,2,7,6,59,41,-0.9840917472904981,0.7359501075676664,1.1268347000697962,0.016187555264168256,0.07979404146116646,-0.12070481052310837,-0.09570026991729585,-2.882741643801932,-0.5198915054242701,0.9494131559845178,1.1522631756150297,0.4101057423509909,0.35348935988973273,0.9235012457085826,-3.123790404194191,0.5817104525828195
83,Santenay Rouge,2,9,1,0,7,6,60,48,0.10643765325735285,-1.7886745557883115,-1.3435617988394957,-1.2897399145744124,1.0254261297577902,-0.15036051660788405,0.48277261641570574,-1.1852174602378942,-0.18771579281835232,0.6708752744204559,0.8100071852038425,0.0981901346620964,-0.13087148517432443,-0.006565951671721756,0.3228354838185897,0.1428546779109385
84,Sauternes (Premier Grand Cru Classé),0,0,0,0,7,6,61,22,-0.49710413701469314,-1.1188329303936426,-0.18431479230529002,1.2412555132276906,0.3246409800040437,0.008425010706545883,-0.9163654705762503,-1.004621483249916,0.20862992741416858,-3.808969869978849,-1.4037968335903706,-1.8394435828473632,2.879711467611044,-1.3481148509256669,0.28505458485137347,-0.06683944817206362
85,Select Rosé Brut,4,0,2,0,12,12,66,23,-2.64711365606826,21.293826190367913,-16.205731815799727,5.785732807777852,17.35681533064824,2.384129113817934,4.964367271793111,1.4418826457424452,-0.21886770207975398,-0.2908060083093904,-1.1793510133222047,-0.22388546010907265,-0.2731638102626571,-0.1607116464853095,0.02559209024202428,-0.007507782728389703
86,Solatio Moscato d'Asti,5,7,1,2,9,9,3,66,-0.8572154468904202,0.9048041325921592,0.39284808110223696,0.11550944813355743,-1.5381441130398272,-1.109799585278246,-0.10648041142214063,-0.24556674293366204,1.5189350693445431,0.48032280939754723,-3.695345505142201,-1.4892350056912576,0.6871549268054767,-1.2034815949136628,3.9492512000212385,2.6515764135623505
87,Terras de Basto Tinto,2,0,0,2,11,11,72,76,-0.05988298992640605,-1.4157128583619452,-0.8131023384461267,-3.1464973937163347,0.795547833630347,0.45790654202390946,2.4731172326893502,3.2233067281360928,0.023020117968827625,1.19398225765595,0.7362491955955295,-0.13073778321652876,0.10525191894155944,0.08580578565271464,0.00849526056864957,-0.05890933208990835
88,Terras de Felgueiras Espumante de Vinho Verde Seco Branco,4,9,2,2,11,11,72,24,-1.7091769740580247,5.489877489173536,-0.40553829569837074,-1.0139644911623389,-5.45125934791117,-4.3937007920416535,-2.3521140972802925,-1.8567325184322878,-7.935819377850953,-1.2398448625441008,-2.392544624348425,4.259391042767275,-0.6767684613208861,-0.28812482821822055,-0.6523042311432358,-0.16619323333358874
89,The Falcon Pinot Gris,5,7,5,0,10,10,36,47,-1.802070353800384,1.8165594972764725,3.0469341831164525,0.21139310854041815,-2.439237175099633,-2.4590972717829467,2.5722783275176546,4.471141706546778,-1.6155608327755562,-2.732874129547518,2.994245253625173,0.011077462521023318,1.7248865504917823,-0.6977745931428947,-1.4905799235481076,0.6470362100383741
90,The Visionary Cabernet Sauvignon,2,7,0,2,1,1,17,71,0.5987419121530814,-1.9185797806111602,-1.481628312872359,-1.7579496044238765,1.157045431195432,0.23651522423270743,0.11961689680148586,-0.8226361630720787,0.3001793255927962,0.7376869053321449,0.5671873480011084,1.0984198521827626,0.19284999874190153,0.11065670487252514,0.3569651852504046,-3.5770043031840033
91,Torgaio Toscana,2,9,5,2,15,9,67,67,-0.42974556318118384,-0.5291565948088849,0.7085990037592513,-3.1573962304730983,-1.0386342902919348,2.3837126869436176,4.591114004908704,3.461168722127295,9.241879583196054,2.5345332350277774,-1.8047584607658445,0.7684144616973055,0.3495291469109364,0.816034493691367,-0.34186776830800225,0.1714351784838045
92,Unwooded Chardonnay,5,7,2,2,15,13,74,8,-1.4645893712697091,1.467694670678113,1.4022556807033868,0.8176183590137728,-2.1599590262619515,-1.5850064560574317,1.8758852185056814,1.9643353823576144,-0.15715854334200816,-0.3872666683597859,-1.1407647547261246,-1.3468824460701907,-0.12892194091500797,-0.7136356723688516,-0.06770869519650856,0.3605625539153862
93,Vieille Vigne Gevrey-Chambertin,2,9,5,2,7,6,26,76,-0.32109409354419244,-1.018442014260672,-0.324298879870875,0.4031498580685089,0.37732535565317793,0.006118006391821082,-0.40133498641795246,-0.9607251898934671,-0.030732506324618457,-0.5424015026680329,0.11339759664522307,-0.059218194100146795,-0.05713233074444868,0.052645329657729854,-0.3387549425687537,0.0809286243528286
94,White Reserve Porto,1,0,5,2,15,11,21,76,-2.0929631320743165,4.879794429591058,20.775143499640055,-5.193620250876849,15.860789322149488,-1.8969439602496652,-1.7059873459369659,-0.0476508754737312,0.9713365341132197,-0.5807862276341308,-0.33625273336570577,-0.052777915896523815,0.051499975599350004,-0.1177611355617936,0.3909097003078566,0.006006054053684776
95,Zinfandel,2,7,0,2,9,9,56,51,-0.7195070595039937,-0.3539837993878236,0.003629472861948329,0.42264048528030873,0.10089467525659317,0.1677861981656077,-0.41678747395794813,0.28372000870004876,-0.010159173723781788,-0.9598984383078164,-0.44281473947411876,0.5072441664206506,0.09363825108894445,0.12979100379922362,-0.3095334288891534,-2.0431129694552963
96,Zweigelt,2,7,2,0,15,2,49,70,0.26474653641992496,-1.3206945904632281,-1.1446330013943578,-1.229986239724809,0.8037913061718809,0.2631566774434934,0.20066616944638022,0.13291051335489232,0.01795088252100403,-0.5424443753983853,-0.364218304079869,1.5521812090226326,10.954713419373814,-2.181289938403281,-0.22864821364787552,-0.2266779985529754
